Time,antlr.TokenBuffer Data
0,429
1,533
2,577
3,632
4,687
5,731
6,786
7,840
8,663
9,70
10,718
11,773
12,817
13,872
14,927
15,971
16,1026
17,1080
18,1125
19,1180
20,1235
21,780
22,835
23,890
24,934
25,989
26,1044
27,1095
28,1143
29,70
30,1198
31,1245
32,1267
33,1319
34,756
35,811
36,856
37,910
38,965
39,1019
40,1064
41,1119
42,1173
43,1218
44,1273
45,1327
46,777
47,832
48,70
49,886
50,931
51,986
52,1041
53,1085
54,70
55,1140
56,1195
57,1239
58,1294
59,1349
60,768
61,823
62,878
63,70
64,922
65,977
66,1032
67,1083
68,1131
69,1185
70,1230
71,1284
72,1329
73,779
74,833
75,878
76,933
77,987
78,1032
79,750
80,797
81,849
82,904
83,958
84,1003
85,1058
86,1113
87,1157
88,1212
89,1266
90,1311
91,752
92,806
93,851
94,906
95,961
96,1006
97,1060
98,1115
99,1162
100,1214
101,1269
102,1323
103,766
104,821
105,876
106,920
107,70
108,975
109,1029
110,1074
111,1129
112,1184
113,70
114,1228
115,1283
116,1338
117,760
118,815
119,870
120,914
121,969
122,1024
123,1078
124,1123
125,1178
126,1225
127,1277
128,1332
129,763
130,815
131,870
132,924
133,969
134,1024
135,1079
136,1123
137,1178
138,1233
139,1277
140,1332
141,768
142,821
143,867
144,922
145,976
146,1021
147,1076
148,1130
149,1175
150,1230
151,1277
152,1329
153,779
154,826
155,878
156,933
157,988
158,1032
159,1087
160,1142
161,1186
162,1241
163,1296
164,1340
165,771
166,826
167,870
168,925
169,980
170,1024
171,1079
172,1134
173,1185
174,1233
175,1288
176,1342
177,771
178,826
179,880
180,925
181,980
182,1034
183,1079
184,1134
185,1188
186,1233
187,1288
188,1343
189,768
190,823
191,878
192,922
193,977
194,1032
195,1076
196,1131
197,1185
198,1230
199,1285
200,1340
201,770
202,825
203,880
204,924
205,979
206,1034
207,1078
208,1133
209,1185
210,1232
211,1287
212,1331
